session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5eaad541e48122053cf9e449,5de3a0d73cf27939f5e3afed,RETURNED,2020-04-30 13:40:20.645000,,88115.836882,30,56,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eaad5427adeb403c197101e,5dd329ea83e30933d49ae7d4,AWAITING REVIEW,2020-04-30 13:40:18.031000,2020-04-30 14:00:10.373000,1192.342,20,59,0,100,,4C7ED9C9,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Male,Yes
5eaad543f768220444bfbb21,5cac639638d61000014da640,AWAITING REVIEW,2020-04-30 13:40:19.642000,2020-04-30 13:51:28.784000,669.142,21,265,3,100,,4C7ED9C9,United Kingdom,Poland,Full-Time,English,"English, German, French, Polish, Turkish",United Kingdom,Male,Yes
5eaad544e00264037e704c73,5c6400cbcb937d00012d8866,AWAITING REVIEW,2020-04-30 13:40:20.015000,2020-04-30 14:09:58.084000,1778.069,34,180,0,100,,4C7ED9C9,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Male,No
5eaad544ec8d28043ef3ad20,5c5da3b159ec1d0001fe5606,AWAITING REVIEW,2020-04-30 13:40:28.901000,2020-04-30 13:54:24.785000,835.884,28,303,1,100,,4C7ED9C9,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5eaad54483d00506e98c61fe,5ca7b68facdc6c00165e4985,AWAITING REVIEW,2020-04-30 13:40:39.474000,2020-04-30 13:53:26.766000,767.292,41,57,0,100,,4C7ED9C9,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,German,Netherlands,Female,No
5eaad545ab031f039da6da08,5c6167386fabd400010977be,AWAITING REVIEW,2020-04-30 13:45:29.662000,2020-04-30 14:00:16.304000,886.642,29,383,1,100,,4C7ED9C9,United States,United States,Part-Time,English,English,United States,Female,Yes
5eaad546a768fc04d17b3050,5d0f8633c8ca0c00155a49c2,AWAITING REVIEW,2020-04-30 13:40:22.143000,2020-04-30 13:49:31.005000,548.862,33,143,0,100,,4C7ED9C9,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,"French, English",Canada,Female,No
5eaad546aaec6f03de5f961d,5c50ce81d99f9d0001b0f696,AWAITING REVIEW,2020-04-30 13:40:25.848000,2020-04-30 13:52:30.258000,724.41,29,91,1,100,,4C7ED9C9,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5eaad54742d78c054fa165c7,5dde680c40460edc4a5dc1a2,AWAITING REVIEW,2020-04-30 13:40:46.332000,2020-04-30 14:02:57.959000,1331.627,38,71,0,100,,4C7ED9C9,Czech Republic,Czech Republic,Full-Time,Czech,"Czech, English, German, Italian",Czech Republic,Female,No
5eaad62cbe9d5d03b7687fa2,5b222aff59f9620001c109cb,AWAITING REVIEW,2020-04-30 13:44:12.782000,2020-04-30 13:57:28.089000,795.307,27,488,4,100,,4C7ED9C9,Finland,Finland,Unemployed (and job seeking),Finnish,"English, Finnish, Italian, Indonesian",Finland,Male,No
