pair,n_annotations,n_workers,n_contradictions,n_workers_contradicting,ratio_workers_contradicting,contradiction_annotation_ratio,n_possible_contradictions,contradiction_poss_contradiction_ratio,average_time_pair,workers_contradicting,workers_not_contradicting,"('affording_activity', 'rare')","('affording_activity', 'impossible')","('implied_category', 'rare')","('implied_category', 'impossible')","('rare', 'typical_of_concept')","('impossible', 'typical_of_concept')","('implied_category', 'unusual')","('typical_of_concept', 'unusual')",annotations_with_contradiction,"('affording_activity', 'unusual')","('typical_of_property', 'unusual')","('rare', 'typical_of_property')","('afforded_usual', 'rare')","('afforded_usual', 'impossible')","('afforded_usual', 'unusual')","('impossible', 'typical_of_property')"
sweet-hazelnut,101,10,11,4,0.4,0.10891089108910891,120,0.09166666666666666,124.73366545454546,5d977727646bb70012d6ea5b 5e1aed4331d8d93320bc6d4e 5e7d04851ae8680b7c88e7e4 5e9cfd9cee0aed225ed1c501,58ac3822890ea500014c665d 59007be801efbd0001856baf 5e196bcd49c6aa210ea6aaad 5e66c749fd0e5b454700f10f 5e6e35cac8f7653d80726811 5e9b4d1efab83b050f3bd741,2.0,1.0,2.0,,2.0,1.0,1.0,1.0,b204db87-a145-452d-813e-6d34b6364ae9 a262a573-5422-4823-8df3-4039b8231658 5b78000d-8bfc-4c2d-bf26-961e68182483 fc9049b0-fb08-4c4a-8fe0-3db9f2d40ef2 79cfc96d-4920-4db4-aba9-51a848221cf2 a5abfe64-f477-499f-a9ae-5bd225d02f24 640591de-1741-48c6-9424-d565fbd94c7a 89fbf9c5-9d74-49d1-989a-27642d51b02b 0849f8e8-49b6-44f7-9e2f-ff4216173e0f a019cfeb-3351-4dad-9c86-36cb40459290 8026ca98-af18-49be-89ba-a5b7432ecd33 c3ea6f26-7ec2-4f33-bf79-85005c92ce2a f0eff891-b54f-48a6-a487-1f805cfe47e1 ff3c7089-a023-490e-881a-a0f61de85ef9 a71b6c35-332d-4617-898d-d4b0dbf99c22 e76fdc85-f81e-453c-9e8a-3878a06f1d47 b5aacb8d-0e00-45b8-8e2a-7897f9721164 723c9f52-6cd8-429f-af3d-8dfd24470fb9 43ffd015-4b36-4c3c-9ca2-1b48c59df2e0 edf426e5-f1f1-4f1b-961f-1d75b867029f 5d4d2259-8679-48a2-9c4d-551c413a4634 dce4a96a-d95d-47f9-bd02-3a288f0060a9 d8794754-7364-4c2c-9e09-7b6c84824a8f c5ad4240-99af-4a21-8fee-fa3cba8a9454 98b8aaff-525e-4bda-9d29-5ea10b832024 0173aaf0-0680-4b64-9eaa-3113fda23766 8d9cca90-2f3c-4a05-bd37-33825a789f5f 106cc82d-ac63-4130-9524-375189442241 2d4f02a7-9be1-4546-b946-6603871d69aa a1d0dcbb-1412-4c75-9dae-0926505c6827 20eb5ac8-e5c7-4658-8026-5b0d4ef61dfe a3fb53d9-7b3e-4d80-b992-f9953d03b0b1 fc744fc5-a7f5-4119-bdc3-5a97e2ea89c6 b175a543-89ec-4b79-8d26-395a3c8a56eb 5684e276-0d69-46cf-9cae-8ab675a1afe6 b2b31101-c45a-4881-9326-6f0bf4a41c6e 84a650ba-4907-4621-84b6-536b0970568e fb8947a2-0d55-4f37-a9bc-4cc94b91464e 7fab93c5-ccf8-48ac-97b3-6b90213c892b 7db84095-a72d-49f9-866d-2ba744023176 ebc9f03e-0b25-4c74-9e3f-c8b659d7b496,1.0,,,,,,
black-pipefish,102,10,14,4,0.4,0.13725490196078433,120,0.11666666666666667,123.94339500000001,5d977727646bb70012d6ea5b 5e196bcd49c6aa210ea6aaad 5e66c749fd0e5b454700f10f 5e7d04851ae8680b7c88e7e4,58ac3822890ea500014c665d 59007be801efbd0001856baf 5e1aed4331d8d93320bc6d4e 5e6e35cac8f7653d80726811 5e9b4d1efab83b050f3bd741 5e9cfd9cee0aed225ed1c501,1.0,,3.0,,2.0,,2.0,1.0,d6fc4524-43fc-4788-81ac-6c9fa4ec671c c11d1242-3b4e-4c7f-acb8-3d06f2ac6b34 bcc0b749-386e-44bd-9eaf-4a040c37f02e f212efed-b139-4102-a1d8-ce06d00cb56f 7d082173-4ce9-4b17-bf59-1f0e050b50f6 d0fc9767-d3c8-4f91-8913-94bdba4dc6d5 7f7575c3-2035-4056-b089-2c2ffed9aed6 51d3a954-92cb-4148-8687-5b829db07e59 a95e059a-d50f-4875-89a6-6b8c1638b6bb 9e765402-42c7-4ae8-9fe8-cb1c821ba289 1d245e60-3ad4-43d9-99b3-5f59c21ec570 f526cba9-38d3-4527-9cba-a6981874c30e dae7a523-f90b-42e2-b5c2-19bb6c68f11d 0aba50a3-b53a-4638-854c-5d88f7d67691 51665ca8-6be1-4386-ac26-c6c639d42017 d4e38d9d-177e-4732-b34e-540485b432ab dcb40db5-12fe-4241-8ec9-c7ae6e922289 28e1e381-e956-4c96-b7eb-db6685917c51 c4bb6a4a-8d78-40f9-9e76-b4ed1c7db414 7d288e8e-39c6-4879-a83f-3aa04752ae97 bf305c2c-ccfe-4e52-a984-c162999e4e70 23ed38fa-52fb-4aff-b3d7-600cdf8e7a50 cdb61407-e616-429a-8add-5c22bc9c0c7a 216f98b8-f264-4e4b-979a-14ec9f096359 5d6321e6-ee06-4366-b8c9-71470da602cd c26eb55c-56e7-40e3-91d6-ded7b10ab781 7467dc48-a93b-4332-a473-1735ac3a894e 4818f831-28d2-403c-9839-4c2e74ef3bc7 13c25cba-760a-4ed9-926c-bc3ab14f7ee2 598966d1-7782-4e88-a781-2ffad700ccb7 7c1e35ae-2883-43ff-8e63-041e06def605 16a5b1e1-cb17-4715-9d81-f38d40631ee8 2c39b8e5-7906-47fe-9e29-75881722c5ac eef9865b-a263-4def-a2bd-a1944cd171eb 8d944a34-5f80-49e7-8c3e-bbb41e999e34 cd535b88-58a1-443e-8a00-f26f62fbe117 da4d8a5b-68b3-4dca-98c5-971e6acad1ea 44683b04-af5a-4d37-979c-f583e5cd5da2 8f8785c4-e8ab-4343-bbc0-3d3f7056113e af34eb39-2785-42df-9e0a-f0ebf1dab920,1.0,2.0,2.0,,,,
wheels-stage,100,10,15,4,0.4,0.15,120,0.125,83.53972999999999,55b24072fdf99b2462d7d259 59a42dd68d2b1600011b407d 5b872639a89e62000113cbb6 5e23cce1233c6c674df6fb07,55e7117841988f000d75ce09 56e99d054111eb000c77885b 59007be801efbd0001856baf 5aae762bc4e8f200014b3f88 5aae93f5fb22320001baaaac 5c3fb75eca00d30001c5187d,3.0,,2.0,1.0,1.0,,2.0,1.0,31475cc5-06ab-48ef-8a1b-124f7b52d9c9 dee89c7f-81bb-4a6f-90fc-7b0c5c7fc9ec 7d47e852-4d70-41b9-869b-4ec7d3909c91 d5b92b17-1ac7-40eb-8863-7fe41e74a1e4 f982f98a-af55-45d9-ba09-bb63d1f1bd59 25a11236-ef51-4f8d-980b-42d3ca73a3bc 70933e76-eed8-4190-83ec-1840c487cf60 d863dffa-5037-471a-9c7d-1b6f023574e8 b9b67cd8-794b-4e16-922f-27c636b140fd 2f6c3ecd-380f-4262-943c-5839e682329d 7a0aa00f-bbb9-497a-b1a6-abec5ed31b2f ef62b4d6-af73-48c9-81cd-a5badcb78275 b317e250-f70d-440a-92ae-7e5e70aa1826 11518284-e4b8-4315-8d80-d4313019f4e2 6ea89e58-8e67-4bd0-81c5-eacd3ef675d8 ea86fd4b-419d-44c2-9422-8400af24cfc6 48f74b64-2fb9-4311-ab84-1be3eea4073e a63994fc-107f-4177-9c05-db0aba1d883e 24166ad3-3c91-419d-8b49-75eb239af516 04c453bd-475a-400b-a3b3-9b06bde005ca 5ef8858d-ebe2-4aa0-ba6d-f797015eea15 10defe40-9950-46a2-9a09-0d6035d2327b 2c9d697b-0a1e-4475-be2a-524275313d6a 01dc81e9-5b38-4b09-9376-34d5d1baa8aa 7c190d0a-3213-41f8-8e88-6d2898600e1e 4fbbee54-9a00-45f4-bc15-8d0f7bd362f8 95782706-f1f2-4176-9773-999fff9fb5f2 8250bc1e-b5f7-4ec2-abfe-acf51126076b 8be96c8b-cb41-4360-a43f-d55ca86de170 a7de2114-1fbf-47e9-8540-a73c31c25174 28addc2b-2cf8-424a-a88f-6da8b2e30628 7a5eeb23-0539-4d13-8019-2165dad85950 abd5d244-8ecf-402a-8ac3-6bfa6232c229 56e6036a-4f29-4623-a024-bfb618cb63f7 91f0385b-8166-47e5-803c-97302a7366a2 1008ca31-b654-47b2-8539-26061744014a 93a904c4-c7cc-40f5-8d8d-fa04f5a401f0 bd703cc7-2e44-4d15-bf78-f408f1bf0c0b 91617a63-1012-454a-815e-f95bba111595 322d4094-fad2-4e12-88b5-e6f1576df9e2,3.0,1.0,1.0,,,,
fly-nuthatch,100,10,12,3,0.3,0.12,120,0.1,125.68199,58ac3822890ea500014c665d 5e1aed4331d8d93320bc6d4e 5e7d04851ae8680b7c88e7e4,59007be801efbd0001856baf 5d977727646bb70012d6ea5b 5e196bcd49c6aa210ea6aaad 5e66c749fd0e5b454700f10f 5e6e35cac8f7653d80726811 5e9b4d1efab83b050f3bd741 5e9cfd9cee0aed225ed1c501,,,,1.0,,1.0,1.0,1.0,93254eae-d342-41de-83d5-14c95be26dc7 b77aa6fd-c2c7-45de-9dfb-f6d38dfe93b2 c7a20080-242a-46b0-a40e-ee881cee83cc f111563c-0837-407d-9d93-8a6c5501b02a c22e0e84-a92d-496b-a588-b235b3e68bf8 32b3fdd6-8f7b-40ee-8f1c-cfaf4fe533ae 911488ff-5aca-4934-a512-39970ede808b c09711c9-3d13-41ce-9a88-aa0b88a3da00 ba2e77cb-b9f4-4896-b4f1-f26c79152cc1 b4468b3b-5d44-48ca-aa4a-79ebfe9c9878 c7550b37-0697-48cd-b768-0878cc298213 fabe46c5-d1a2-49e9-893d-43ccad90c9a1 01d9d335-01cf-427c-a517-6e68ab7fb6f4 7cef4f6f-35bb-46ce-988d-a0555b95ee1f 3fb9dbf7-c7a4-4675-b047-c6e9874d009f 56e1ca59-ae20-4564-ae82-e769b252e961 c62f6ea9-4e81-4591-93bf-83d41ab7c1a7 0ccde763-eab6-498f-afb5-cee8a20f6987 421cfec5-c7c5-495b-a079-c514989cba79 fbdafdef-946f-4f62-bbfb-ce876b54b472 2f080b0a-ed0c-4522-84e5-6d1d5d417992 46ffb53a-bba5-4e88-b79d-e4742bdf64c3 9b985cdf-4b0c-47ae-b6a1-c54ad8c3ae64 e1515db1-1545-40c2-b927-91c77bb3b6a4 994f95b1-d951-42f2-b229-708e0540600c e0f79bba-bd56-4ad5-90ad-a9a1371eab17 f0439ab7-b10f-4326-828e-1a146efc654b 9cdccee9-3586-45d9-8dae-60bd824614c0 29d11ab6-cb44-4804-b247-09ab0aa3ee2b e6840579-7506-4826-a151-51d255027dfc,,1.0,,1.0,3.0,2.0,1.0
wheels-rig,100,10,5,3,0.3,0.05,120,0.041666666666666664,83.53972999999999,55b24072fdf99b2462d7d259 55e7117841988f000d75ce09 5e23cce1233c6c674df6fb07,56e99d054111eb000c77885b 59007be801efbd0001856baf 59a42dd68d2b1600011b407d 5aae762bc4e8f200014b3f88 5aae93f5fb22320001baaaac 5b872639a89e62000113cbb6 5c3fb75eca00d30001c5187d,,1.0,,,,,1.0,,65d3b8ec-eb2c-4210-b65c-8c884e8728f6 3749c8c4-6205-4e84-8bc0-dbee295ecb70 2df3d9d4-bd23-40b5-86a3-af0c7147eeee 5a6f1b5a-719f-45ce-bad6-67ad2d7eea57 4090a801-b40f-4f10-a14a-2b8100938afc 388e21fd-b36b-4a9b-81cc-9f0dc867ac1f d1cbee1d-6442-472b-8f9b-4555e8658458 27c340a7-ca93-4881-841b-650d53c3d219 cde4abd8-b2ad-46d1-ae12-f4e66ea80e6f e3c7d535-bbc3-452b-ba06-2ea93aceedc2 5a0a2761-091c-4283-a77d-119167aa5f4e 4b9fff02-ee95-48bd-96ee-6545ab8b7a78 dcf9f4ab-7cc9-4dd5-8de6-3d9c5209505c 6f07512f-9e2f-42c2-98b8-6d7fd0662e83 dfc917fd-c99d-4d5f-83f8-c021ab4f29a7 84ed4e5f-99ca-4921-923c-d90217bd9912 ba890ff4-48d2-4743-99e8-1cc734e56ecf 4272347e-c195-4bdf-ae33-b2ace8a067a0 33741b94-ddf7-4777-943b-7479f9326f2d 05727e12-7503-4669-b4b9-13ff1efacc26 883462f9-9e2f-4872-bf7a-6fb7bb93027e 8e72c334-fade-44a9-8bc8-471c6e4298bc 6828f187-7343-45f7-b535-af5c0fa36efb 00f2fa2b-10c3-47bc-afcd-6278b2bc3e33 f217b355-2bff-43f6-86d8-f58bb76cb6f4 2d36560d-a5dd-40d7-bc82-45bab44324ec 3a1cb800-4b36-4b40-893a-0c02ce27082b 6dd00439-5965-429d-b898-e8bc400f6575 c90fcc0c-0ac3-4607-a086-0012546d330d 02ce610b-1172-499a-9c7c-7fd1c0cdd83f,3.0,,,,,,
made_of_wood-timber,101,10,10,3,0.3,0.09900990099009901,120,0.08333333333333333,124.73366545454546,58ac3822890ea500014c665d 5d977727646bb70012d6ea5b 5e66c749fd0e5b454700f10f,59007be801efbd0001856baf 5e196bcd49c6aa210ea6aaad 5e1aed4331d8d93320bc6d4e 5e6e35cac8f7653d80726811 5e7d04851ae8680b7c88e7e4 5e9b4d1efab83b050f3bd741 5e9cfd9cee0aed225ed1c501,1.0,,2.0,,1.0,,2.0,1.0,578396d2-4dd1-4fa3-ad29-46a8ea2383cb dae49c92-9133-4a58-81ca-b21e895d7041 8253044e-a80d-4ece-ae21-62db8005efde ad8dae93-bf85-4f90-b6fc-1b8620d3ddc8 3627a913-418c-4cec-9a75-f964361c0a3c 113d3766-bdb1-48e0-a338-8135dc10a893 8790f44d-27ab-4903-9354-621bf73f9469 1451ef54-a41d-4b52-8634-64d4aeb8b4b8 c702cc44-7621-48c4-b440-69a8171001d2 4bc5c64f-7794-49c9-aeac-f2e9c765ce09 f29ef1f0-c755-4dd2-bc45-d758121947b2 de982d51-649b-464f-9f70-ea2255faf5cc d62e31e9-9696-4180-9621-c897467338b2 ea54304e-cf67-45d6-9bce-2e0119f552be 003628d8-cea8-49ea-8d42-dd83af91a65f 4a76702d-a9b0-461d-aa80-221a06def771 ea3cf128-9a20-4645-b68c-87e69d0f8780 b63d4939-e039-44a6-ac23-c6f25fe27da8 d0957d3e-bb4c-4d5d-8f00-79f67fb46d6e 07eae151-c376-4223-8da2-038b063f599c 326d2467-a6ef-4a5a-b4b1-ef6405f8c55d 43b636d0-6375-47b5-80b5-b88b110d6592 8db4596e-87f5-43e0-b8bf-ab2fa135e63f 86c1952a-9884-49b9-a9ba-39ead5554e3c 120b4d04-e601-4d4d-b962-e8bad33c70de 23e8308a-31cb-468f-91cc-7afa4917e805 fee4efad-1474-49f2-a96b-7f7b49562f39 98cd4f3d-30b3-49d6-ae36-77a80f95dbc7 8883214f-7a04-4395-8077-e1ed911841ac 38d116f8-1a8c-4bc6-ad28-40bc0d0ec940,1.0,1.0,1.0,,,,
wheels-railcar,100,10,7,2,0.2,0.07,120,0.058333333333333334,83.53972999999999,55b24072fdf99b2462d7d259 59a42dd68d2b1600011b407d,55e7117841988f000d75ce09 56e99d054111eb000c77885b 59007be801efbd0001856baf 5aae762bc4e8f200014b3f88 5aae93f5fb22320001baaaac 5b872639a89e62000113cbb6 5c3fb75eca00d30001c5187d 5e23cce1233c6c674df6fb07,,1.0,,2.0,,1.0,1.0,1.0,3c628b2d-579f-44c9-8a80-647e66447cc2 887d39a2-d520-488a-a709-c18f668ff43b 0138eb33-f648-410d-8342-0066e912bd8f bffe54fc-e769-4ab9-92b1-73117675fc4e 802afd29-f4f1-40d5-879e-b34a01f3c580 ba0ba902-c982-454d-9bc2-f3847e641aa2 9af60c17-a667-4f9a-9089-a125aa10b762 b11e9082-6af8-47bb-a4dc-35ed2ad11123 7f6ba251-16d1-4d43-826e-5edcacbf41ff 8c2e944e-ef9c-4da1-8cd9-4df38c01b350 6ceaef32-c4dd-4bde-b549-a57fc5d524f4 21f8a38c-4a67-4057-b2aa-bea2d8ad85f3 061eb055-9f71-485e-8726-008c4b72d393 36db0315-700d-4b27-af76-29b95140b592 f6024319-a388-489f-baf4-c565efe9a0fc 7e9fbd59-50ed-4aba-9760-1e2b2e10e9a4 e558b6ea-ed0b-45cc-b9bb-fec8ccceb76d e2929420-dbac-4600-9cff-226592493611 e2a96f36-1575-4fc5-bffc-cf66296c830d fe6b1902-e2c1-46ce-8cc9-9cf34e51f042,1.0,,,,,,
lay_eggs-eland,101,10,8,2,0.2,0.07920792079207921,120,0.06666666666666667,124.73366545454546,5d977727646bb70012d6ea5b 5e7d04851ae8680b7c88e7e4,58ac3822890ea500014c665d 59007be801efbd0001856baf 5e196bcd49c6aa210ea6aaad 5e1aed4331d8d93320bc6d4e 5e66c749fd0e5b454700f10f 5e6e35cac8f7653d80726811 5e9b4d1efab83b050f3bd741 5e9cfd9cee0aed225ed1c501,,,2.0,,1.0,,1.0,,a2f9629c-ee96-420f-a7e6-ec9211982093 cb8705f3-81da-4012-b5d7-30cf4290a2f7 71efd750-f5b9-487c-abdc-36b346592129 be59a3bc-1aa4-4cb9-9fd3-bf6d69cae74d 93fdc43a-5a63-448f-8115-c67c5a6db434 109c5e91-a846-4976-9932-ba1d61d0a29d fa454bfc-bd34-449d-89bc-638a447245e4 90e0bff8-5b1a-492b-8fc1-41d6d9d13714 8a2fb631-aace-41f6-ad37-af233b2aed0a 500a552c-7f17-447a-9874-fdf5479044b7 3a5efe5b-68cd-4362-ac55-f2b5f9d297d1 64113969-b662-4f0c-9961-256a95678aab bc03b771-03d6-4d5d-8314-67ae4d9fee7e ba4eb01d-4efc-41d4-9942-4692b61c25b2 8ae90053-8c18-4e2a-a4fc-c37cb1792f84 3f213dcb-3cbf-441e-8ec3-239b15b61a4b 009dff5c-1b34-4a40-a7b5-b3ea95bb6f94 a1727d39-270e-48d0-aef0-a4219c48421f 300c9d47-781f-4166-9677-366f319011a2 a2cf5cbf-c1f9-422a-9bf1-c699a698e7d2,,1.0,2.0,1.0,,,
hot-candy,100,10,8,2,0.2,0.08,120,0.06666666666666667,125.68199,5d977727646bb70012d6ea5b 5e66c749fd0e5b454700f10f,58ac3822890ea500014c665d 59007be801efbd0001856baf 5e196bcd49c6aa210ea6aaad 5e1aed4331d8d93320bc6d4e 5e6e35cac8f7653d80726811 5e7d04851ae8680b7c88e7e4 5e9b4d1efab83b050f3bd741 5e9cfd9cee0aed225ed1c501,2.0,1.0,,,1.0,1.0,,1.0,4f3d709f-fa67-49ff-bb03-f7e3cdbfbb77 4021b4b5-ac41-4f28-9ac4-8af325c49531 15270f5b-16bc-4ad8-8d5f-6bb7c060e506 cc56c973-2177-4197-a276-d955649b57ff 1c63a8ed-3cf7-4c32-9d81-360da383ffed f2aca395-e09b-4c8c-8179-69bc466a049d c0f6a75f-8648-4ee0-8567-43513a6a7f6d f0a39700-f9aa-4cd9-baa0-e31460635128 71c7471b-41fe-415e-9226-f951c0c7ce9e e6fea401-f2f9-4cd0-ba55-3dcb120c87f3 3a2c80c2-1e44-4c1c-be44-5ee1ebeae039 32eb1cfa-e3a9-4126-9f2b-fe09c9752509 51a3395e-7703-4d0f-afca-d51c18229a18 0f573ff1-ef6a-4ce5-a83f-28f41f94ace5 6efcd42d-5733-478a-ba51-91f60809f518 3c75299b-3876-4e40-9778-12145213a590 0f47114a-a3c0-4349-aff8-58825d230f97 1308835b-d468-452d-8cd3-3b52fea6f2d9 a372d496-c97f-463f-929c-e32ba1c0b80a 34c9ba9d-2124-4fb7-8241-0419d7ada268,2.0,,,,,,
dangerous-unction,100,10,10,2,0.2,0.1,120,0.08333333333333333,83.53972999999999,55b24072fdf99b2462d7d259 59a42dd68d2b1600011b407d,55e7117841988f000d75ce09 56e99d054111eb000c77885b 59007be801efbd0001856baf 5aae762bc4e8f200014b3f88 5aae93f5fb22320001baaaac 5b872639a89e62000113cbb6 5c3fb75eca00d30001c5187d 5e23cce1233c6c674df6fb07,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,47ab8f90-3535-4053-8fe4-eeaab8ce80b2 eacfc775-77c7-4b43-9ed1-a066da117687 8a2e67e1-9db1-40f1-ad73-4b11b5749fce 03435652-9bf0-49f8-b346-761fa09bd2f5 9267f68b-e6f6-46e6-bf04-a07051fc3b56 3dae4d62-8e73-4a30-b000-c02d289b8134 70cf2901-6a47-4041-91fa-135be7d1131a ab165543-068f-4774-bc8d-7cdf6d809f66 dfc82af3-943e-4b76-9ecc-45f05aa766e0 ab614b2b-9291-4442-9540-60480d5c23de 97fa6e61-3fde-4a32-a5f4-7121d398afa8 62100ada-35e9-4416-a249-074700e45a9e ea9ee721-9953-4dfd-a759-9c0aed94ea1b 7f113b87-a8d8-4eca-bed7-7c21b4f697f1 6bea7537-c9b1-4afa-88cf-a00a7cfb243c 50f8b129-ce2c-4b83-9ce1-d7f520df5738 72096034-6a34-4834-ad93-7c72c2e27fb9 9bd02264-ab56-4e9d-990d-aa9d9f27cb3b baff5c15-484d-433a-ac57-f5856d35db2e d246f327-0987-45d3-babe-bea3b0b374ff,,,,,,,
